,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meet,meanVUH
75,7465912,1152448.0,0.0169494752222,0.924781341108,"(40.010961365678348, 116.50609613130129)",92.0689374798,203,26.3285714286,6.46618075802
76,6785238,348150.0,0.0170532861086,0.925558794947,"(40.077448337825693, 116.58757327080892)",92.6328344671,377,26.4586005831,6.50281827017
77,8249333,232202.0,0.0171225237805,0.926433430515,"(39.894609164420487, 116.41230949589684)",93.008931001,788,26.5799805637,6.57939747328
78,7598069,614863.0,0.0173058627812,0.926919339164,"(39.970979335130281, 116.4902696365768)",94.0048218335,781,26.8079689018,6.65529640428
79,8802907,412802.0,0.0174289515117,0.927599611273,"(39.939532794249772, 116.34607268464245)",94.6734353741,1162,27.0285714286,6.76822157434
80,6981146,988660.0,0.0177237487859,0.927696793003,"(40.072057502246182, 116.5641266119578)",96.2747635245,400,27.4512147716,6.80709426628
81,7470809,1074952.0,0.0180442764896,0.927696793003,"(40.010512129380054, 116.50550996483001)",98.0158584386,327,27.8706511176,6.83887269193
82,8523607,203862.0,0.0181050637793,0.928571428571,"(39.888319856244387, 116.37948417350528)",98.3460528021,768,27.975898931,6.91350826045
83,6966452,1051890.0,0.0184187148877,0.928571428571,"(40.072057502246182, 116.56588511137164)",100.049794299,301,28.4394557823,6.94275996113
84,8180790,280006.0,0.0185022066903,0.92934888241,"(39.907637017070975, 116.42051582649474)",100.503318756,979,28.5942662779,7.03790087464
85,7539251,947888.0,0.0187848466258,0.92944606414,"(39.952111410601972, 116.49730363423213)",102.038608682,83,29.0248785228,7.04596695821
86,8249344,268946.0,0.0188650405728,0.930223517979,"(39.899550763701704, 116.41230949589684)",102.474219307,964,29.1808551992,7.13965014577
87,8773476,134327.0,0.0189050940123,0.931098153547,"(39.920215633423176, 116.34958968347011)",102.691788144,589,29.2567541302,7.19689018465
88,8219878,211737.0,0.0189682294587,0.931875607386,"(39.864510332434861, 116.41582649472451)",103.034737609,707,29.3756073858,7.26559766764
89,7994484,668025.0,0.0191674202311,0.932167152575,"(39.82587601078167, 116.44279015240329)",104.116734694,385,29.6461613217,7.30301263362
90,6844012,474378.0,0.0193088696084,0.932653061224,"(40.076549865229111, 116.58053927315358)",104.885082604,1223,29.9163265306,7.42186588921
91,8195475,564386.0,0.0194771574469,0.933041788144,"(39.90359389038634, 116.4187573270809)",105.799216067,1308,30.1674441205,7.54897959184
92,7798901,846400.0,0.0197295358306,0.933138969874,"(39.977268643306381, 116.4662368112544)",107.170126336,75,30.4099125364,7.55626822157
93,7411766,626960.0,0.019916481898,0.933430515063,"(39.890566037735844, 116.51254396248535)",108.185610625,104,30.5771622935,7.56637512148
94,8533280,911999.0,0.0201884205011,0.933430515063,"(39.833063791554359, 116.37831184056273)",109.662771299,73,30.8976676385,7.57346938776
95,7588248,700401.0,0.0203972651045,0.933624878523,"(39.959748427672956, 116.49144196951934)",110.797207645,385,31.260447036,7.61088435374
96,7475706,891410.0,0.0206630645079,0.933624878523,"(40.010062893081759, 116.50492379835875)",112.241020408,96,31.7113702624,7.62021379981
97,8969408,23276.0,0.0206700049135,0.934499514091,"(39.925606469002695, 116.326143024619)",112.278720441,75,31.7247813411,7.62750242954
98,7500191,880990.0,0.0209326972957,0.934499514091,"(40.007816711590294, 116.50199296600235)",113.705655977,58,32.0284742468,7.63313896987
99,9126077,857858.0,0.02118849221,0.934499514091,"(39.895507637017069, 116.30738569753811)",115.095124717,401,32.310787172,7.67210884354
100,8675540,182988.0,0.0212430553193,0.9351797862,"(39.930997304582206, 116.36131301289566)",115.391509556,681,32.4331389699,7.73828960155
101,8102493,256754.0,0.0213196138726,0.935762876579,"(39.939532794249772, 116.42989449003518)",115.807372854,745,32.588143829,7.81068999028
102,8538177,827179.0,0.0215662609651,0.935762876579,"(39.832614555256065, 116.37772567409145)",117.147150956,327,32.9482993197,7.84246841594
103,8651130,241579.0,0.0216382946579,0.936345966958,"(39.966936208445638, 116.36424384525206)",117.538435374,877,33.0726919339,7.927696793
104,8068394,592413.0,0.0218149395486,0.936540330418,"(40.023539982030549, 116.43399765533412)",118.497964043,32,34.5715257532,7.93080660836
105,8259157,303620.0,0.0219054725411,0.937026239067,"(39.907187780772688, 116.41113716295429)",118.98973599,1116,34.7329446064,8.03926141885
106,9062407,301946.0,0.0219955063826,0.937512147716,"(39.897304582210239, 116.31500586166472)",119.478796566,717,34.8743440233,8.10894071914
107,6966453,681069.0,0.022198586597,0.937609329446,"(40.072506738544476, 116.56588511137164)",120.581920959,197,35.185617104,8.12808551992
108,9052607,458666.0,0.0223353509918,0.937900874636,"(39.895507637017069, 116.31617819460728)",121.324820214,1109,35.4620019436,8.23586005831
109,7480603,734804.0,0.0225544538343,0.937900874636,"(40.009613656783465, 116.50433763188747)",122.514978944,85,36.5311953353,8.24412050534
110,9155525,155835.0,0.0226009204995,0.938483965015,"(39.922461814914641, 116.30386869871045)",122.767384192,622,36.6095238095,8.3045675413
111,6839100,443659.0,0.0227332101277,0.938775510204,"(40.070260557053011, 116.58112543962486)",123.485976676,959,36.8109815355,8.39776482021
112,7544180,533357.0,0.0228922457818,0.938969873664,"(39.966037735849056, 116.49671746776085)",124.349852608,223,36.9705539359,8.41943634597
113,7289486,615494.0,0.0230757729332,0.939067055394,"(39.966936208445638, 116.5271981242673)",125.346765468,41,37.1958211856,8.42342079689
114,6829286,421602.0,0.0232014856356,0.939358600583,"(40.062174303683733, 116.58229777256741)",126.029632329,825,37.392808552,8.503595724
115,8415831,132976.0,0.0232411362358,0.939941690962,"(39.879335130278527, 116.3923798358734)",126.245012958,541,37.4700680272,8.55617103984
116,8940114,602521.0,0.0234207951159,0.940038872692,"(39.967834681042227, 116.32966002344666)",127.220913508,254,37.6839650146,8.58085519922
