,Region,dVCR,VCR,dUCR,UCR,loc
88,6829314,381185.0,0.0100258016643,884,0.941496598639,"(40.074752920035941, 116.58229777256741)"
89,8778407,150041.0,0.0100705406826,599,0.941885325559,"(39.935040431266842, 116.34900351699883)"
90,8734345,137336.0,0.0101114913415,569,0.942274052478,"(39.944025157232701, 116.35427901524034)"
91,8611771,184236.0,0.0101664265777,691,0.942662779397,"(39.888319856244387, 116.36893317702229)"
92,8508913,113407.0,0.0102002421204,452,0.943051506317,"(39.888319856244387, 116.38124267291911)"
93,6844012,474378.0,0.0103416914977,1223,0.943440233236,"(40.076549865229111, 116.58053927315358)"
94,8797991,73195.0,0.0103635166818,310,0.943828960155,"(39.931446540880501, 116.34665885111372)"
95,9194847,97637.0,0.0103926299477,387,0.944217687075,"(39.984456424079063, 116.29917936694022)"
96,8513737,102589.0,0.0104232197941,406,0.944606413994,"(39.855076370170707, 116.38065650644783)"
97,7549078,1234263.0,0.0107912506318,99,0.944995140914,"(39.966037735849056, 116.49613130128957)"
98,8254243,237634.0,0.01086210801,930,0.945286686103,"(39.899999999999999, 116.41172332942556)"
99,7906557,183812.0,0.0109169168184,504,0.945578231293,"(39.932345013477089, 116.4533411488863)"
100,8259306,358877.0,0.0110239262669,652,0.945869776482,"(39.974123989218327, 116.41113716295429)"
101,7980003,222246.0,0.0110901952724,788,0.946161321672,"(39.921563342318059, 116.44454865181712)"
102,8803056,164635.0,0.0111392859095,540,0.946452866861,"(40.006469002695418, 116.34607268464245)"
103,8224775,162267.0,0.0111876704596,659,0.946744412051,"(39.864061096136567, 116.41524032825323)"
104,7465913,359114.0,0.0112947505764,202,0.94703595724,"(40.011410601976635, 116.50609613130129)"
105,8950060,39546.0,0.0113065423481,131,0.94732750243,"(40.035220125786161, 116.3284876905041)"
106,9204482,43689.0,0.0113195694738,191,0.947619047619,"(39.912129380053905, 116.29800703399766)"
107,8293845,38233.0,0.011330969737,117,0.947910592809,"(40.087780772686429, 116.40703399765533)"
108,9405362,26967.0,0.0113390107199,85,0.948202137998,"(39.939982030548066, 116.27397420867527)"
109,2592680,24301.0,0.0113462567585,57,0.948493683188,"(40.135849056603774, 117.08933177022274)"
110,7353047,100521.0,0.0113762299715,434,0.948785228377,"(39.91617250673854, 116.51957796014068)"
111,7798712,204720.0,0.0114372730986,751,0.949076773567,"(39.892362982929022, 116.4662368112544)"
112,7891769,100907.0,0.0114673614085,405,0.949368318756,"(39.890116801437557, 116.45509964830012)"
113,9199572,62076.0,0.0114858711445,266,0.949659863946,"(39.906738544474393, 116.29859320046894)"
114,7867497,147171.0,0.0115297543902,304,0.949951409135,"(39.988050314465404, 116.45803048065652)"
115,6246079,25523.0,0.0115373648031,92,0.950145772595,"(39.907187780772688, 116.65205158264948)"
116,8195572,136062.0,0.0115779355825,529,0.950340136054,"(39.947169811320755, 116.4187573270809)"
