,Region,dVCR,VCR,dUCR,UCR,loc,meanVIT,VUH,meet,meanVUH
65,7886965,356834.0,0.00923551083966,1041,0.922740524781,"(39.932345013477089, 116.4556858147714)",50.1669614512,1041,15.3592808552,7.41846452867
66,8797971,240759.0,0.00930730002596,995,0.923129251701,"(39.922461814914641, 116.34665885111372)",50.5569177195,995,15.5116618076,7.51516034985
67,7891865,299999.0,0.00939675331371,1018,0.92361516035,"(39.933243486073671, 116.45509964830012)",51.0428247489,1018,15.6588921283,7.61409135083
68,6853743,331106.0,0.00949548204377,1112,0.924101068999,"(40.047349505840067, 116.57936694021103)",51.5791156463,1112,15.8237123421,7.7221574344
69,8768558,238474.0,0.00956658989193,779,0.924975704568,"(39.911230907457323, 116.35017584994139)",51.9653709103,779,15.9509232264,7.79786200194
70,6839098,424230.0,0.00969308620778,952,0.925267249757,"(40.069362084456422, 116.58112543962486)",52.6524943311,952,16.1484936832,7.89037900875
71,8656028,270414.0,0.00977371788106,940,0.925850340136,"(39.966936208445638, 116.36365767878078)",53.0904826693,940,16.2925170068,7.98172983479
72,8224776,256271.0,0.00985013241412,993,0.926239067055,"(39.864510332434861, 116.41524032825323)",53.505563654,993,16.4677356657,8.07823129252
73,8778417,202019.0,0.0099103701607,803,0.927016520894,"(39.939532794249772, 116.34900351699883)",53.8327729187,803,16.5829931973,8.15626822157
74,7671577,299225.0,0.00999959265819,956,0.927308066084,"(39.988050314465404, 116.48147713950763)",54.3174263039,956,16.7560738581,8.2491739553
75,8249344,268946.0,0.0100797866053,964,0.927988338192,"(39.899550763701704, 116.41230949589684)",54.7530369291,964,16.9120505345,8.34285714286
76,9106684,219815.0,0.0101453307385,692,0.928765792031,"(39.984905660377358, 116.30973036342321)",55.1090702948,692,17.0227405248,8.4101068999
77,9464063,223086.0,0.0102118502141,729,0.92915451895,"(39.906289308176099, 116.26694021101993)",55.4704016845,729,17.1356656948,8.48095238095
78,8180790,280006.0,0.0102953420167,979,0.92954324587,"(39.907637017070975, 116.42051582649474)",55.9239261419,979,17.2904761905,8.57609329446
79,9062396,318919.0,0.0103904368439,758,0.929737609329,"(39.892362982929022, 116.31500586166472)",56.4404778102,758,17.4515063168,8.64975704568
80,6839102,443610.0,0.0105227118614,938,0.930029154519,"(40.071159029649593, 116.58112543962486)",57.1589909297,938,17.6477162293,8.74091350826
81,9155497,177964.0,0.0105757769213,705,0.930709426628,"(39.90988319856244, 116.30386869871045)",57.4472384192,705,17.7418853256,8.80942662779
82,7754653,277529.0,0.0106585301355,772,0.931292517007,"(39.902695417789758, 116.47151230949591)",57.8967508908,772,17.8734693878,8.88445092323
83,8709729,227411.0,0.0107263392336,759,0.931584062196,"(39.887421383647798, 116.35720984759672)",58.2650874636,759,17.9927113703,8.95821185617
84,8572684,228592.0,0.0107945004806,885,0.932167152575,"(39.931895777178795, 116.37362250879251)",58.6353368967,885,18.1292517007,9.04421768707
85,8651130,241579.0,0.0108665341734,877,0.932555879495,"(39.966936208445638, 116.36424384525206)",59.0266213152,877,18.2536443149,9.12944606414
86,8254225,306629.0,0.0109579643854,1117,0.932750242954,"(39.891913746630728, 116.41172332942556)",59.5232669258,1117,18.4184645287,9.23799805637
87,7598069,614863.0,0.011141303386,781,0.932944606414,"(39.970979335130281, 116.4902696365768)",60.5191577583,781,18.6464528669,9.31389698737
88,6829314,381185.0,0.0112549646032,884,0.933527696793,"(40.074752920035941, 116.58229777256741)",61.1365613865,884,18.8616132167,9.39980563654
89,7980028,281645.0,0.0113389451206,981,0.933819241983,"(39.932794249775384, 116.44454865181712)",61.5927405248,981,19.0069970845,9.49514091351
90,8748915,239666.0,0.0114104083976,891,0.934110787172,"(39.888319856244387, 116.3525205158265)",61.9809264658,891,19.1423712342,9.58172983479
91,9155544,212378.0,0.0114737349765,738,0.934499514091,"(39.930997304582206, 116.30386869871045)",62.3249141561,738,19.2370262391,9.65344995141
92,7754679,263992.0,0.0115524517467,977,0.934693877551,"(39.91437556154537, 116.47151230949591)",62.7525008098,977,19.4081632653,9.74839650146
93,8636393,238921.0,0.0116236928807,889,0.934888241011,"(39.94761904761905, 116.36600234466589)",63.1394800777,889,19.533819242,9.83479105928
94,7754655,218284.0,0.0116887805026,805,0.93537414966,"(39.90359389038634, 116.47151230949591)",63.4930336897,805,19.6556851312,9.9130223518
95,8195576,280687.0,0.0117724753648,978,0.93556851312,"(39.948966756513926, 116.4187573270809)",63.9476611597,978,19.8043731778,10.0080660836
