,Region,dVCR,VCR,UCR,loc,meanVIT,VUH,meanVUH
104,8259172,481554.0,0.0244431351024,0.9120505345,"(39.913926325247076, 116.41113716295429)",7965.6795258,624,6.42454571956
105,7573658,503844.0,0.0245933706108,0.912147716229,"(40.006469002695418, 116.49320046893318)",8014.6391993,103,6.43455446507
106,9400474,515718.0,0.0247471466923,0.912147716229,"(39.944474393530996, 116.27456037514655)",8064.75269653,10,6.43552618793
107,8083087,503219.0,0.0248971958391,0.912244897959,"(40.023090745732254, 116.43223915592029)",8113.65163735,3,6.43581770479
108,7896672,335178.0,0.0249971387525,0.913702623907,"(39.892362982929022, 116.45451348182884)",8146.22164999,1156,6.54814886794
109,4791716,501377.0,0.0251466386543,0.913799805637,"(40.061275831087151, 116.826143024619)",8194.94159946,3,6.5484403848
110,6970961,512853.0,0.025299560454,0.913799805637,"(39.897304582210239, 116.56529894490036)",8244.77669809,12,6.54960645224
111,8298249,498941.0,0.0254483339927,0.913896987366,"(39.865858041329737, 116.40644783118407)",8293.25993587,8,6.55038383053
112,7950510,509150.0,0.0256001516369,0.913896987366,"(39.874393530997303, 116.44806565064479)",8342.73520552,8,6.55116120882
113,8195461,508524.0,0.0257517826214,0.913896987366,"(39.897304582210239, 116.4187573270809)",8392.14964532,72,6.55815761345
114,7475655,507847.0,0.0259032117389,0.913896987366,"(39.987151841868823, 116.50492379835875)",8441.49829948,30,6.56107278204
115,6981143,494682.0,0.0260507153348,0.913994169096,"(40.070709793351298, 116.5641266119578)",8489.5676805,703,6.62938489943
116,7975173,481350.0,0.0261942436134,0.914188532556,"(39.952111410601972, 116.44513481828839)",8536.34156059,415,6.66971139831
117,8151436,479204.0,0.0263371320007,0.914382896016,"(39.922911051212935, 116.4240328253224)",8582.90690895,56,6.67515304635
118,8097241,502999.0,0.0264871155483,0.914382896016,"(39.780503144654084, 116.43048065650645)",8631.78447187,6,6.67573608007
119,9517826,489470.0,0.0266330650373,0.914480077745,"(39.854627133872413, 116.26049237983588)",8679.34739092,94,6.684870275
120,6848909,471802.0,0.0267737463064,0.914674441205,"(40.076100628930817, 116.5799531066823)",8725.19347002,864,6.7688271305
121,5996420,495427.0,0.0269214720455,0.914674441205,"(39.969631626235397, 116.68194607268465)",8773.33524439,2,6.76902147508
122,7715587,482948.0,0.0270654768135,0.914771622935,"(39.955705300988321, 116.47620164126613)",8820.26440579,255,6.79380040812
123,6839101,458676.0,0.0272022441901,0.915063168124,"(40.070709793351298, 116.58112543962486)",8864.83500146,991,6.89009814401
124,6839100,443659.0,0.0273345338183,0.915451895044,"(40.070260557053011, 116.58112543962486)",8907.9463609,959,6.98328636673
125,9013409,414394.0,0.0274580972493,0.916034985423,"(39.889218328840968, 116.3208675263775)",8948.21397337,292,7.01166067438
126,7490243,482723.0,0.0276020349271,0.916034985423,"(39.939532794249772, 116.50316529894491)",8995.12127101,4,7.01204936352
127,7852765,482645.0,0.0277459493471,0.916034985423,"(39.970979335130281, 116.45978898007034)",9042.02098921,116,7.02332134875
128,6819522,434328.0,0.0278754566706,0.916423712342,"(40.076549865229111, 116.58347010550997)",9084.22563405,920,7.1127198523
129,7539349,480829.0,0.0280188295982,0.916423712342,"(39.996136567834682, 116.49730363423213)",9130.94888738,37,7.1163152269
130,6976249,480375.0,0.0281620671526,0.916423712342,"(40.072506738544476, 116.56471277842908)",9177.62802449,151,7.13098824215
131,7891773,322961.0,0.0282583672178,0.91768707483,"(39.891913746630728, 116.45509964830012)",9209.0108833,1072,7.23515693324
132,6177948,476406.0,0.0284004213013,0.91768707483,"(40.105300988319854, 116.66025791324736)",9255.3043436,4,7.23554562239
133,8254244,370546.0,0.0285109101962,0.918464528669,"(39.900449236298293, 116.41172332942556)",9291.31114566,1255,7.3574968419
134,9033172,284184.0,0.028595647789,0.919922254616,"(39.966037735849056, 116.31852286049238)",9318.92595472,843,7.43941307939
135,9346311,462728.0,0.0287336233854,0.919922254616,"(39.816442048517516, 116.2810082063306)",9363.89029249,3,7.43970459625
136,7607865,449568.0,0.0288676749511,0.920019436346,"(39.970979335130281, 116.48909730363424)",9407.57584297,389,7.47750461568
137,11051190,441354.0,0.0289992772776,0.920116618076,"(39.984905660377358, 116.07702227432591)",9450.46322029,5,7.47799047712
138,8538301,367649.0,0.029108902349,0.920796890185,"(39.888319856244387, 116.37772567409145)",9486.18851424,1245,7.59896997376
139,7602967,451206.0,0.0292434423313,0.920796890185,"(39.970979335130281, 116.48968347010552)",9530.03323292,570,7.65435817705
140,7505067,438267.0,0.0293741241804,0.920894071914,"(39.997933513027853, 116.50140679953107)",9572.62063939,46,7.65882810223
141,6839098,424230.0,0.0295006204963,0.921088435374,"(40.069362084456422, 116.58112543962486)",9613.84403848,952,7.75133611894
142,6839099,424201.0,0.029627108165,0.921282798834,"(40.069811320754717, 116.58112543962486)",9655.06461957,950,7.84364979108
143,6079759,435983.0,0.0297571089741,0.921379980564,"(40.002425876010783, 116.67198124267293)",9697.43008454,5,7.84413565251
144,8665907,444395.0,0.0298896180618,0.921379980564,"(40.004222821203953, 116.36248534583822)",9740.61296278,6,7.84471868623
145,6839102,443610.0,0.0300218930793,0.921379980564,"(40.071159029649593, 116.58112543962486)",9783.71956078,938,7.93586629093
146,7107790,443243.0,0.0301540586653,0.921379980564,"(39.755795148247977, 116.54888628370458)",9826.79049655,4,7.93625498008
147,7965376,430372.0,0.0302823863942,0.921477162293,"(39.951662174303685, 116.44630715123095)",9868.61072782,402,7.97531823924
148,6804829,441787.0,0.0304141178321,0.921477162293,"(40.076999101527399, 116.5852286049238)",9911.54018074,850,8.05791468273
149,9184820,338096.0,0.0305149308307,0.922254616132,"(39.880682839173403, 116.30035169988277)",9944.3937421,585,8.11476047031
150,7068539,434038.0,0.0306443516825,0.922254616132,"(39.725696316262351, 116.5535756154748)",9986.57020698,4,8.11514915946
151,6829286,421602.0,0.0307700643849,0.922351797862,"(40.062174303683733, 116.58229777256741)",10027.5382373,825,8.19531629579
152,7808838,432777.0,0.0308991092334,0.922351797862,"(40.04061096136568, 116.46506447831185)",10069.5921679,26,8.19784277524
153,7426731,431982.0,0.0310279170299,0.922351797862,"(40.012309074573224, 116.51078546307151)",10111.5688466,115,8.20901758818
154,5369350,431411.0,0.0311565545664,0.922351797862,"(39.913027852650494, 116.75697538100822)",10153.4900398,8,8.20979496648
155,9062559,251127.0,0.0312314352687,0.92380952381,"(39.965588499550762, 116.31500586166472)",10177.8926246,936,8.30074822661
156,7891841,297028.0,0.0313200026677,0.924878522838,"(39.922461814914641, 116.45509964830012)",10206.7555145,1038,8.40161305996
157,6961298,428411.0,0.0314477456684,0.924878522838,"(39.957053009883197, 116.56647127784291)",10248.3851909,12,8.40277912739
158,8401095,390746.0,0.0315642577713,0.925170068027,"(39.860467205750226, 116.39413833528722)",10286.3548732,550,8.45622388495
159,7593529,426521.0,0.0316914372144,0.925170068027,"(40.131805929919139, 116.49085580304808)",10327.800894,3,8.45651540181
160,8410725,414490.0,0.0318150292705,0.925267249757,"(39.785893980233602, 116.39296600234468)",10368.077835,2,8.45670974638
161,8249326,306285.0,0.0319063569091,0.926239067055,"(39.891464510332433, 116.41230949589684)",10397.8402488,1095,8.56311340006
162,7740121,374781.0,0.0320181085903,0.926627793975,"(39.975471698113203, 116.47327080890973)",10434.2585755,470,8.6087843747
163,8890963,398491.0,0.0321369300867,0.926822157434,"(39.891015274034139, 116.33552168815945)",10472.9808571,70,8.61558643475
164,9341635,397721.0,0.0322555219855,0.927016520894,"(39.91617250673854, 116.28159437280188)",10511.628316,44,8.61986201535
165,7794048,361293.0,0.0323632518336,0.927502429543,"(39.997484276729558, 116.46682297772568)",10546.7359829,571,8.67534739092
166,6829287,419875.0,0.0324884495815,0.927502429543,"(40.062623539982027, 116.58229777256741)",10587.5361967,1000,8.77251967739
167,5673564,407359.0,0.0326099153259,0.927599611273,"(40.154716981132076, 116.72063305978898)",10627.1202021,3,8.77281119425
168,7549175,406986.0,0.0327312698496,0.927696793003,"(40.009613656783465, 116.49613130128957)",10666.6679623,61,8.77873870372
169,6795036,346213.0,0.0328345031641,0.928279883382,"(40.078346810422282, 116.58640093786636)",10700.3102711,788,8.85531046546
170,8592244,417469.0,0.0329589834943,0.928279883382,"(39.917520215633424, 116.37127784290739)",10740.8766884,63,8.8614323195
171,6829314,381185.0,0.0330726447115,0.928571428571,"(40.074752920035941, 116.58229777256741)",10777.9173064,884,8.94733262074
172,7867300,404851.0,0.0331933626238,0.928668610301,"(39.899550763701704, 116.45803048065652)",10817.2576037,544,9.00019434457
173,7725406,415177.0,0.0333171595286,0.928668610301,"(39.966037735849056, 116.47502930832357)",10857.6013021,335,9.03274706054
174,8313195,413413.0,0.0334404304464,0.928668610301,"(39.979065588499552, 116.40468933177023)",10897.7735886,36,9.03624526285
175,10198311,400494.0,0.0335598491945,0.928765792031,"(39.703234501347708, 116.17901524032825)",10936.6905063,2,9.03643960742
176,2764419,411882.0,0.0336826636007,0.928765792031,"(40.274663072776278, 117.06881594372803)",10976.714022,2,9.036633952
177,7505066,409976.0,0.0338049096786,0.928765792031,"(39.997484276729558, 116.50140679953107)",11016.5523273,45,9.04100670489
178,9214212,409356.0,0.0339269708856,0.928765792031,"(39.882479784366573, 116.2968347010551)",11056.3303858,14,9.0423671169
179,8381755,397019.0,0.034045353463,0.928862973761,"(39.973674752920033, 116.39648300117234)",11094.9096298,6,9.04295015062
180,7593268,408526.0,0.0341671671818,0.928862973761,"(40.014555256064689, 116.49085580304808)",11134.6070353,11,9.04401904577
181,7891689,408076.0,0.0342888467203,0.928862973761,"(39.854177897574125, 116.45509964830012)",11174.2607132,12,9.04518511321
182,8259306,358877.0,0.0343958561688,0.92925170068,"(39.974123989218327, 116.41113716295429)",11209.1336119,652,9.10854144398
183,7955307,405501.0,0.0345167678973,0.92925170068,"(39.829020664869716, 116.44747948417351)",11248.5370712,3,9.10883296084
184,8121735,405409.0,0.0346376521933,0.92925170068,"(39.782300089847261, 116.42754982415006)",11287.9315907,10,9.1098046837
185,8200261,405108.0,0.0347584467376,0.92925170068,"(39.853279424977536, 116.41817116060962)",11327.2968613,24,9.11213681858
186,8513746,380762.0,0.0348719818252,0.92944606414,"(39.859119496855342, 116.38065650644783)",11364.2963755,300,9.14128850452
187,7563865,403876.0,0.0349924090134,0.92944606414,"(40.007816711590294, 116.49437280187574)",11403.5419298,68,9.14789622
188,7264911,402652.0,0.035112471231,0.92944606414,"(39.928751123090741, 116.53012895662368)",11442.6685453,2,9.14809056457
189,7847311,378048.0,0.0352251970619,0.9296404276,"(39.721203953279421, 116.46037514654162)",11479.4043339,18,9.14983966573
190,7470811,399483.0,0.0353443143514,0.9296404276,"(40.011410601976635, 116.50550996483001)",11518.2230104,101,9.15965406666
191,9816703,387252.0,0.0354597846182,0.929737609329,"(39.89910152740341, 116.22473622508792)",11555.8531727,6,9.16023710038
192,8063272,326834.0,0.0355572395292,0.930320699708,"(39.922911051212935, 116.4345838218054)",11587.6123797,1185,9.27538625984
193,9057507,374112.0,0.035668791729,0.930515063168,"(39.896406109613658, 116.315592028136)",11623.9656982,573,9.33106597998
194,7568766,397552.0,0.0357873332357,0.930515063168,"(40.00916442048517, 116.49378663540446)",11662.596735,71,9.33796521232
195,7084015,373079.0,0.0358985774169,0.930709426628,"(40.076999101527399, 116.55181711606097)",11698.8496745,81,9.34583616753
196,6834194,384282.0,0.0360131620933,0.930806608358,"(40.066666666666663, 116.58171160609614)",11736.1912351,812,9.42474006413
197,7549089,371817.0,0.0361240299731,0.931000971817,"(39.970979335130281, 116.49613130128957)",11772.3215431,274,9.45136527062
198,8195432,395366.0,0.0362419196613,0.931000971817,"(39.884276729559744, 116.4187573270809)",11810.7401613,5,9.45185113206
199,8131760,394175.0,0.0363594542187,0.931000971817,"(39.885175202156333, 116.4263774912075)",11849.0430473,27,9.45447478379
200,8558009,393807.0,0.0364768790464,0.931000971817,"(39.94043126684636, 116.37538100820633)",11887.3101739,19,9.45632105723
